,Title,Tomatometer,Audience_Score
0,The Shawshank Redemption,9.1,9.8
1,The Godfather,9.700000000000001,9.8
2,The Dark Knight,9.4,9.4
3,The Godfather Part II,9.600000000000001,9.700000000000001
4,12 Angry Men,9.700000000000001,9.700000000000001
5,Schindler's List,9.8,9.700000000000001
6,The Lord of the Rings: The Return of the King,9.4,8.6
7,Pulp Fiction,9.200000000000001,9.600000000000001
8,The Lord of the Rings: The Fellowship of the Ring,9.1,9.5
9,"The Good, the Bad and the Ugly",9.700000000000001,9.700000000000001
10,Forrest Gump,7.1000000000000005,9.5
11,Fight Club,7.9,9.600000000000001
12,The Lord of the Rings: The Two Towers,9.5,9.5
13,Inception,8.700000000000001,9.1
14,Star Wars: Episode V - The Empire Strikes Back,9.5,9.700000000000001
15,The Matrix,8.3,8.5
16,Goodfellas,9.4,9.700000000000001
17,One Flew Over the Cuckoo's Nest,9.3,9.600000000000001
18,Se7en,8.3,9.5
19,It's a Wonderful Life,9.4,9.5
20,Seven Samurai,9.700000000000001,9.700000000000001
21,Interstellar,7.300000000000001,8.6
22,The Silence of the Lambs,9.5,9.5
23,Spider-Man: Across the Spider-Verse,9.600000000000001,9.4
24,Saving Private Ryan,9.4,9.5
25,City of God,9.1,9.700000000000001
26,Life Is Beautiful,8.1,9.600000000000001
27,The Green Mile,7.9,9.4
28,Star Wars: Episode IV - A New Hope,9.3,9.600000000000001
29,Terminator 2: Judgment Day,9.1,9.5
30,Back to the Future,9.3,9.4
31,Spirited Away,9.600000000000001,9.600000000000001
32,The Pianist,9.5,9.600000000000001
33,Psycho,9.700000000000001,9.5
34,Parasite,9.9,9.0
35,Gladiator,8.0,8.700000000000001
36,The Lion King,9.3,9.3
37,Léon: The Professional,7.4,9.5
38,American History X,8.4,9.600000000000001
39,The Departed,9.1,9.4
40,Whiplash,9.4,9.4
41,The Prestige,7.7,9.200000000000001
42,The Usual Suspects,8.8,9.600000000000001
43,Grave of the Fireflies,9.5,9.5
44,Harakiri,9.700000000000001,9.700000000000001
45,Casablanca,9.9,9.5
46,Oppenheimer,9.3,9.1
47,The Intouchables,7.6000000000000005,9.3
48,Modern Times,9.8,9.5
49,Cinema Paradiso,9.0,9.600000000000001
50,Once Upon a Time in the West,9.600000000000001,9.5
51,Rear Window,9.8,9.5
52,Alien,9.8,9.4
53,City Lights,9.5,9.600000000000001
54,Apocalypse Now,9.8,9.4
55,Memento,9.4,9.4
56,Django Unchained,8.700000000000001,9.200000000000001
57,Raiders of the Lost Ark,9.3,9.600000000000001
58,WALL·E,9.5,9.0
59,The Lives of Others,9.200000000000001,9.600000000000001
60,Sunset Blvd.,9.5,9.5
61,Spider-Man: Into the Spider-Verse,9.700000000000001,9.4
62,Aliens,9.8,9.4
63,Inglourious Basterds,8.9,8.8
64,The Dark Knight Rises,8.700000000000001,9.0
65,American Beauty,8.700000000000001,9.3
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9.8,9.4
67,Oldboy,8.200000000000001,9.4
68,Coco,9.700000000000001,9.4
69,Amadeus,8.9,9.5
70,Toy Story,10.0,9.200000000000001
71,Braveheart,7.6000000000000005,8.5
72,Das Boot,9.8,9.600000000000001
73,Avengers: Endgame,9.4,9.0
74,Joker,6.9,8.8
75,Princess Mononoke,9.3,9.4
76,Good Will Hunting,9.700000000000001,9.4
77,Your Name.,9.8,9.4
78,Once Upon a Time in America,8.8,9.3
79,3 Idiots,10.0,9.3
80,High and Low,9.5,9.5
81,Singin' in the Rain,10.0,9.5
82,Capernaum,9.0,9.3
83,Requiem for a Dream,7.800000000000001,9.3
84,Toy Story 3,9.8,9.0
85,Come and See,9.5,9.5
86,Star Wars: Episode VI - Return of the Jedi,8.3,9.4
87,Eternal Sunshine of the Spotless Mind,9.200000000000001,9.4
88,2001: A Space Odyssey,9.200000000000001,8.9
89,The Hunt,9.200000000000001,9.3
90,Reservoir Dogs,9.0,9.4
91,Ikiru,9.700000000000001,9.700000000000001
92,Lawrence of Arabia,9.4,9.3
93,Citizen Kane,9.9,9.0
94,M,9.5,9.5
95,The Apartment,9.4,9.4
96,North by Northwest,9.4,9.4
97,Vertigo,9.200000000000001,9.3
98,Double Indemnity,9.5,9.5
99,Amélie,8.9,9.5
100,Scarface,7.9,9.3
101,Full Metal Jacket,9.0,9.4
102,A Clockwork Orange,8.700000000000001,9.3
103,Incendies,9.1,9.200000000000001
104,Heat,8.9,9.4
105,Up,9.8,9.0
106,Hamilton,9.8,8.9
107,To Kill a Mockingbird,9.3,9.3
108,The Sting,9.3,9.5
109,A Separation,9.9,9.200000000000001
110,Indiana Jones and the Last Crusade,8.4,9.4
111,Metropolis,9.200000000000001,9.200000000000001
112,Die Hard,9.4,9.4
113,Like Stars on Earth,9.3,9.600000000000001
114,Snatch,7.4,9.3
115,Bicycle Thieves,9.4,9.4
116,L.A. Confidential,9.9,9.4
117,Taxi Driver,8.9,9.3
118,1917,8.9,8.8
119,Downfall,9.0,9.4
120,Dangal,9.3,9.3
121,For a Few Dollars More,9.200000000000001,9.4
122,Batman Begins,8.5,9.4
123,Top Gun: Maverick,9.600000000000001,9.9
124,Some Like It Hot,9.4,9.4
125,The Kid,9.5,9.5
126,The Wolf of Wall Street,8.0,8.3
127,The Father,9.8,9.200000000000001
128,Green Book,7.7,9.1
129,All About Eve,9.4,9.4
130,Judgment at Nuremberg,9.3,9.3
131,The Truman Show,9.4,8.9
132,There Will Be Blood,9.1,8.6
133,Casino,7.9,9.3
134,Ran,9.600000000000001,9.5
135,Shutter Island,6.9,7.7
136,Pan's Labyrinth,9.5,9.1
137,The Sixth Sense,8.6,9.0
138,Jurassic Park,9.1,9.1
139,Unforgiven,9.600000000000001,9.3
140,A Beautiful Mind,7.4,9.3
141,The Treasure of the Sierra Madre,9.3,9.3
142,No Country for Old Men,9.3,8.6
143,Yojimbo,9.600000000000001,9.600000000000001
144,Kill Bill: Vol. 1,8.5,8.1
145,The Thing,8.5,9.200000000000001
146,Monty Python and the Holy Grail,9.600000000000001,9.5
147,The Great Escape,9.5,9.5
148,Finding Nemo,9.9,8.6
149,Rashomon,9.3,9.3
150,The Elephant Man,9.200000000000001,9.3
151,Chinatown,9.9,9.3
152,Howl's Moving Castle,8.700000000000001,9.3
153,Dial M for Murder,9.0,9.200000000000001
154,Gone with the Wind,9.0,9.200000000000001
155,V for Vendetta,7.300000000000001,9.0
156,Raging Bull,9.200000000000001,9.3
157,Prisoners,8.1,8.700000000000001
158,"Lock, Stock and Two Smoking Barrels",7.5,9.3
159,The Secret in Their Eyes,8.9,9.3
160,Spider-Man: No Way Home,9.3,9.8
161,"Three Billboards Outside Ebbing, Missouri",9.0,8.700000000000001
162,The Bridge on the River Kwai,9.600000000000001,9.3
163,Trainspotting,9.0,9.3
164,Fargo,9.4,9.200000000000001
165,Warrior,8.4,9.200000000000001
166,Gran Torino,8.1,9.0
167,Catch Me If You Can,9.600000000000001,8.9
168,My Neighbor Totoro,9.3,9.4
169,Million Dollar Baby,9.0,9.0
170,Klaus,9.5,9.600000000000001
171,Harry Potter and the Deathly Hallows: Part 2,9.600000000000001,8.9
172,Children of Heaven,8.3,9.5
173,Blade Runner,8.8,9.1
174,12 Years a Slave,9.5,9.0
175,Before Sunrise,10.0,9.3
176,The Grand Budapest Hotel,9.200000000000001,8.6
177,The Gold Rush,9.3,9.3
178,Ben-Hur,8.5,8.9
179,Barry Lyndon,8.700000000000001,9.200000000000001
180,Gone Girl,8.8,8.700000000000001
181,Hacksaw Ridge,8.4,9.1
182,On the Waterfront,9.5,9.5
183,In the Name of the Father,9.4,9.5
184,Memories of Murder,9.3,9.3
185,The General,9.200000000000001,9.200000000000001
186,The Deer Hunter,8.6,9.1
187,Wild Strawberries,9.4,9.4
188,Wild Tales,9.4,9.200000000000001
189,The Third Man,9.3,9.3
190,The Wages of Fear,9.5,9.5
191,Sherlock Jr.,9.5,9.5
192,Dead Poets Society,8.4,9.200000000000001
193,Mad Max: Fury Road,9.700000000000001,8.6
194,"Monsters, Inc.",9.600000000000001,9.0
195,Mr. Smith Goes to Washington,9.4,9.4
196,Jaws,9.700000000000001,9.0
197,How to Train Your Dragon,9.9,9.1
198,Mary and Max,9.200000000000001,9.200000000000001
199,The Seventh Seal,9.3,9.3
200,Ford v Ferrari,9.200000000000001,9.8
201,Room,9.3,9.3
202,The Big Lebowski,8.0,9.3
203,Tokyo Story,9.3,9.3
204,Ratatouille,9.600000000000001,8.700000000000001
205,Rocky,9.200000000000001,6.9
206,Hotel Rwanda,9.1,9.4
207,Logan,9.4,9.0
208,The Passion of Joan of Arc,9.3,9.3
209,Spotlight,9.700000000000001,9.3
210,Platoon,8.9,9.3
211,The Terminator,10.0,8.9
212,Jai Bhim,10.0,10.0
213,Before Sunset,9.4,9.200000000000001
214,Rush,8.8,8.8
215,Network,9.200000000000001,9.3
216,The Exorcist,7.800000000000001,8.700000000000001
217,The Best Years of Our Lives,9.3,9.3
218,Stand by Me,9.200000000000001,9.4
219,La haine,9.5,9.5
220,The Wizard of Oz,9.8,8.9
221,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,8.6
222,The Incredibles,9.700000000000001,7.5
223,Into the Wild,8.3,8.9
224,My Father and My Son,9.700000000000001,9.700000000000001
225,To Be or Not to Be,9.3,9.3
226,The Handmaiden,9.1,9.1
227,The Grapes of Wrath,8.8,8.8
228,The Battle of Algiers,9.5,9.5
229,Groundhog Day,9.4,8.8
230,Amores Perros,9.3,9.4
231,Rebecca,9.200000000000001,9.200000000000001
232,The Sound of Music,8.3,9.1
233,Cool Hand Luke,10.0,9.5
234,Pather Panchali,9.3,9.3
235,The Iron Giant,9.600000000000001,9.0
236,It Happened One Night,9.3,9.3
237,The Help,7.6000000000000005,8.9
238,The 400 Blows,9.4,9.4
239,Persona,9.4,9.4
240,Life of Brian,9.600000000000001,9.3
241,Aladdin,9.5,9.200000000000001
242,Avengers: Infinity War,8.5,9.200000000000001
243,The Shining,8.3,9.3
244,The Great Dictator,9.200000000000001,9.5
245,Witness for the Prosecution,9.5,9.5
246,Paths of Glory,9.600000000000001,9.5
247,Inside Out,9.8,8.9
248,Hachi: A Dog's Tale,6.4,8.4
249,Gangs of Wasseypur,9.4,9.0
